code,display_name,city,raw_name
ZZV0000FQFL,"Cma-Cgm Fort Saint Louis (A, Ocean",Cma-Cgm Fort Saint Louis (A,CMA-CGM FORT SAINT LOUIS (A
ZZV0000FQFM,"Cma-Cgm Fort Saint Pierre, Ocean",Cma-Cgm Fort Saint Pierre,CMA-CGM FORT SAINT PIERRE
ZZV0000JBOA,"Keifu Maru, Ocean",Keifu Maru,KEIFU MARU
ZZV0000JCCX,"Chofu Maru, Ocean",Chofu Maru,CHOFU MARU
ZZV0000JDWX,"Kofu Maru, Ocean",Kofu Maru,KOFU MARU
ZZV0000JGQH,"Ryofu Maru, Ocean",Ryofu Maru,RYOFU MARU
ZZV0000JIVB,"Seifu Maru, Ocean",Seifu Maru,SEIFU MARU
ZZV0000JNSR,"Mirai, Ocean",Mirai,MIRAI
ZZV0000JPBN,"Keifu Maru, Ocean",Keifu Maru,KEIFU MARU
ZZV0000KAOU,"Roger Revelle (Aws), Ocean",Roger Revelle (Aws),ROGER REVELLE (AWS)
ZZV0000KHRH,"Sealand Developer, Ocean",Sealand Developer,SEALAND DEVELOPER
ZZV0000KNIJ,"Manulani, Ocean",Manulani,MANULANI
ZZV0000LDWR,"Polarfront, Ocean",Polarfront,POLARFRONT
ZZV0000LGKI,"Lance, Ocean",Lance,LANCE
ZZV0000SMLQ,"Oden, Ocean",Oden,ODEN
ZZV0000SWJS,"Peljasper, Ocean",Peljasper,PELJASPER
ZZV0000UBLF,"Akademik Kurchatov, Ocean",Akademik Kurchatov,AKADEMIK KURCHATOV
ZZV0000UBNZ,"Akademik Shuleykin, Ocean",Akademik Shuleykin,AKADEMIK SHULEYKIN
ZZV0000UFTA,"Volgoneft-131, Ocean",Volgoneft-131,VOLGONEFT-131
ZZV0000UHQS,"Akademik Korolyov, Ocean",Akademik Korolyov,AKADEMIK KOROLYOV
ZZV0000UVMJ,"Vsevolod Beryozkin, Ocean",Vsevolod Beryozkin,VSEVOLOD BERYOZKIN
ZZV0000UZGH,"Passat, Ocean",Passat,PASSAT
ZZV0000V2LV,"Ual Texas, Ocean",Ual Texas,UAL TEXAS
ZZV0000V2XM,"Skogafoss, Ocean",Skogafoss,SKOGAFOSS
ZZV0000V2XO,"Lagarfoss, Ocean",Lagarfoss,LAGARFOSS
ZZV0000VPHA,"Oocl Challenge, Ocean",Oocl Challenge,OOCL CHALLENGE
ZZV0000WPKD,"Galveston Bay, Ocean",Galveston Bay,GALVESTON BAY
ZZV0000WTEC,"Ronald H. Brown (Aws), Ocean",Ronald H. Brown (Aws),RONALD H. BROWN (AWS)
ZZV0000ZDLG,"Bransfield, Ocean",Bransfield,BRANSFIELD
ZZV0000ZSAF,"S. A. Agulhas, Ocean",S. A. Agulhas,S. A. AGULHAS
ZZV000ASDK3,"Asdk3, Ocean",Asdk3,ASDK3
ZZV000ASFR1,"Asfr1, Ocean",Asfr1,ASFR1
ZZV000ASFR2,"Asfr2, Ocean",Asfr2,ASFR2
ZZV000ASFR3,"Asfr3, Ocean",Asfr3,ASFR3
ZZV000ASFR4,"Asfr4, Ocean",Asfr4,ASFR4
ZZV000ELML7,"Hornbay, Ocean",Hornbay,HORNBAY
ZZV000LADB2,"Skaugran, Ocean",Skaugran,SKAUGRAN
ZZV000LAJV4,"Skaubryn, Ocean",Skaubryn,SKAUBRYN
ZZV000OVYA2,"Arina Arctica, Ocean",Arina Arctica,ARINA ARCTICA
ZZV000OXTS2,"Irena Arctica, Ocean",Irena Arctica,IRENA ARCTICA
ZZV000OXVH2,"Naja Arctica, Ocean",Naja Arctica,NAJA ARCTICA
ZZV000OXYH2,"Nuka Arctica, Ocean",Nuka Arctica,NUKA ARCTICA
ZZV000P3OO4,"Dragon Bay, Ocean",Dragon Bay,DRAGON BAY
ZZV000VSBV3,"Canmar Ambassador, Ocean",Canmar Ambassador,CANMAR AMBASSADOR
ZZV000ZCBP6,"Mississauga Express, Ocean",Mississauga Express,MISSISSAUGA EXPRESS
ZZV00ASDE01,"Asde01, Ocean",Asde01,ASDE01
ZZV00ASDE02,"Asde02, Ocean",Asde02,ASDE02
ZZV00ASDE03,"Asde03, Ocean",Asde03,ASDE03
ZZV00ASDE04,"Asde04, Ocean",Asde04,ASDE04
ZZV00ASDE09,"Asde09, Ocean",Asde09,ASDE09
ZZV00ASDK01,"Asdk01, Ocean",Asdk01,ASDK01
ZZV00ASDK02,"Asdk02, Ocean",Asdk02,ASDK02
ZZV00ASDK03,"Asdk03, Ocean",Asdk03,ASDK03
ZZV00ASES01,"Ases01, Ocean",Ases01,ASES01
ZZV00ASEU01,"Aseu01, Ocean",Aseu01,ASEU01
ZZV00ASEU02,"Aseu02, Ocean",Aseu02,ASEU02
ZZV00ASEU03,"Aseu03, Ocean",Aseu03,ASEU03
ZZV00ASEU04,"Aseu04, Ocean",Aseu04,ASEU04
ZZV00ASEU05,"Aseu05, Ocean",Aseu05,ASEU05
ZZV00ASEU06,"Aseu06, Ocean",Aseu06,ASEU06
ZZV00ASGB01,"Asgb01, Ocean",Asgb01,ASGB01
ZZXUAE04977,"Weathership K Cirrus, Ocean",Weathership K Cirrus,WEATHERSHIP K CIRRUS
ZZXUAICE002,"Np02, Ocean",Np02,NP02
ZZXUAICE003,"Np03, Ocean",Np03,NP03
